mc_name,col_id,syn_name,rank,name_status,genus,subgenus,species,infraspecies_marker,infraspecies,author,record_scrutiny_date,online_resource,is_extinct,name_html,url
Peronospora effusa,fe8706b6373862ff15b3b01af7c01aa2,Peronospora effusa manshurica,infraspecies,synonym,Peronospora,,effusa,var.,manshurica,"Naumov, 1912",,,0,"<i>Peronospora effusa manshurica</i> Naumov, 1912",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/fe8706b6373862ff15b3b01af7c01aa2
Peronospora effusa,3646bfc83ac62e75439c47a8b40f23fa,Peronospora effusa minor,infraspecies,synonym,Peronospora,,effusa,var.,minor,"Casp., 1855",,,0,"<i>Peronospora effusa minor</i> Casp., 1855",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/3646bfc83ac62e75439c47a8b40f23fa
Peronospora effusa,21b813250ce9f5ff9e07c399718ee11f,Peronospora effusa plantaginis,infraspecies,synonym,Peronospora,,effusa,var.,plantaginis,"Farl., 1876",,,0,"<i>Peronospora effusa plantaginis</i> Farl., 1876",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/21b813250ce9f5ff9e07c399718ee11f
Peronospora effusa,a154ff5bd3640d1f6185149ba4967a1b,Peronospora effusa polygoni,infraspecies,synonym,Peronospora,,effusa,var.,polygoni,"Thüm., 1876",,,0,"<i>Peronospora effusa polygoni</i> Thüm., 1876",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/a154ff5bd3640d1f6185149ba4967a1b
Peronospora effusa,6b85c49bad4de48146d91ee1176cf6e5,Peronospora effusa polygoni-convolvuli,infraspecies,synonym,Peronospora,,effusa,var.,polygoni-convolvuli,Thüm. ,,,0,<i>Peronospora effusa polygoni-convolvuli</i> Thüm. ,http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/6b85c49bad4de48146d91ee1176cf6e5
Peronospora effusa,9aca45abc134e5f3d1a1d5075fda898b,Peronospora effusa rumicis,infraspecies,synonym,Peronospora,,effusa,var.,rumicis,"(Corda) Mussat, 1901",,,0,"<i>Peronospora effusa rumicis</i> (Corda) Mussat, 1901",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/9aca45abc134e5f3d1a1d5075fda898b
Peronospora effusa,95ce68c12d26ccd84dd636ebf66f5873,Peronospora effusa violae,infraspecies,ambiguous synonym,Peronospora,,effusa,var.,violae,"Rabenh., 1870",,,0,"<i>Peronospora effusa violae</i> Rabenh., 1870",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/95ce68c12d26ccd84dd636ebf66f5873
Peronospora effusa,c6604599190913debe20dd9fc6ab3bc1,Peronospora effusa violae,infraspecies,ambiguous synonym,Peronospora,,effusa,var.,violae,"Sacc., 1888",,,0,"<i>Peronospora effusa violae</i> Sacc., 1888",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/c6604599190913debe20dd9fc6ab3bc1
Peronospora effusa,e3b19419b9e6e9e48ca8521cc42d9979,Peronospora epiphylla,species,synonym,Peronospora,,epiphylla,,,"(Pers.) Pat. & Lagerh., 1891",,,0,"<i>Peronospora epiphylla</i> (Pers.) Pat. & Lagerh., 1891",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/e3b19419b9e6e9e48ca8521cc42d9979
Peronospora effusa,7215a8fa52952cc991ff8f58b6b56aff,Peronospora kochiae,species,synonym,Peronospora,,kochiae,,,"Gäum., 1919",,,0,"<i>Peronospora kochiae</i> Gäum., 1919",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/7215a8fa52952cc991ff8f58b6b56aff
Peronospora effusa,6f1a68d563a34e9306fc4c362a87644d,Peronospora litoralis,species,synonym,Peronospora,,litoralis,,,"Gäum., 1919",,,0,"<i>Peronospora litoralis</i> Gäum., 1919",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/6f1a68d563a34e9306fc4c362a87644d
Peronospora effusa,085af80f1c00dd8e51ad015615fd39ec,Peronospora litoralis litoralis,infraspecies,synonym,Peronospora,,litoralis,f.,litoralis,"Gäum., 1919",,,0,"<i>Peronospora litoralis litoralis</i> Gäum., 1919",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/085af80f1c00dd8e51ad015615fd39ec
Peronospora effusa,ac5349cec2ceb8f3646069c67dd6a935,Peronospora litoralis romanica,infraspecies,synonym,Peronospora,,litoralis,f.,romanica,"Săvul. & Rayss, 1931",,,0,"<i>Peronospora litoralis romanica</i> Săvul. & Rayss, 1931",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/ac5349cec2ceb8f3646069c67dd6a935
